,LGB_shap,NN_perm,avg
building_last_known_price,0.16509197719449162,0.16509197719449162,0.16509197719449162
chislennost_naseleniya_092025,0.11081918360865212,0.005584140703486865,0.05820166215606949
building_listing_count_historical,0.015435902790285684,0.08428693622662842,0.04986141950845705
months_since_building_last_listed,0.06369427616644287,0.01781601761054624,0.040755146888494555
building_appreciation_rate_annualized,0.046361269242238476,0.014615504632247025,0.03048838693724275
LONGITUDE,0.03195657092550095,0.01735451325952467,0.024655542092512812
LATITUDE,0.019905416601453223,0.018905127504647738,0.019405272053050482
YEAR,0.03015711413639496,0.004136214386931434,0.017146664261663197
is_shymkent,0.030975511836794978,0.001049177922832514,0.016012344879813747
segment_code,0.030101408958399266,0.0006668095994162079,0.015384109278907737
is_almaty,0.018128760384709768,0.012461377968444553,0.01529506917657716
CONDITION,0.021204995102108826,0.000625736809173849,0.010915365955641337
building_price_volatility,0.007928772005762494,0.010526295988731687,0.00922753399724709
k_vo_vvedennyh_kvartir_indiv_zastroishikami,0.015820401654944118,0.001572262686569212,0.008696332170756665
index_potreb_cen_prodovolstv_tovary,0.012068787490088259,0.00530312965632935,0.008685958573208804
TOTAL_FLOORS,0.013163419978594396,0.001102664457262438,0.007133042217928417
srednmes_zarplata,0.010455143021279494,0.00213585454382296,0.006295498782551227
FURNITURE,0.012159774699365153,0.00042419813195988224,0.006291986415662518
sred_fakt_zatraty_str_vo_na_sqmeters_zhilyhdomov_vsego,0.003358334274895277,0.007940293525925754,0.005649313900410515
prirost_naselenya,0.008581672230107244,0.002272940008202302,0.005427306119154773
obsh_ploshad_expluat_new_buildings_vsego,0.005896617026739191,0.004805768797789735,0.005351192912264463
poleznaya_ploshad_zhilyh_zdaniy_vvedeno,0.0012355511615075685,0.008859851990560655,0.005047701576034112
CEILING,0.009097733676893933,0.0006915772274538453,0.00489465545217389
dist_to_pharmacy_km,0.007888431512614334,0.0008570196250796974,0.0043727255688470155
fakt_stoimost_str_va_chastnoi_sobstv_ti_zastroishikami,0.00275226855377651,0.005453881797982392,0.004103075175879451
k_vo_vvedennyh_novyh_zhilyh_zdaniy_mnogokvartirnyh,0.005366507338727526,0.0028046595429422672,0.004085583440834897
k_vo_vvedennyh_novyh_zhilyh_zdaniy_vsego,0.005337256050849494,0.002720019506128615,0.004028637778489054
index_potreb_cen_tovary_uslugi,0.0004977540109032777,0.006293452300043078,0.003395603155473178
REGION,0.004874721481353918,0.0017897395920406741,0.0033322305366972962
fakt_stoimost_str_va_shkoly,0.000680909458607095,0.005719432507422061,0.003200170983014578
dist_to_hospital_km,0.005868412344862547,0.00031161373522028296,0.003090013040041415
obsh_ploshad_expluat_new_buildings_shkoly,0.0017320056052697729,0.004322776569928945,0.0030273910875993587
index_potreb_cen_neprodovolstv_tovary,0.001099375960057636,0.004781504195019093,0.0029404400775383645
index_potreb_cen_platnye_uslugi,0.0010866704935665822,0.004620982250991104,0.002853826372278843
is_astana,0.0001885369930437008,0.005500084553003838,0.002844310773023769
obsh_ploshad_expluat_new_buildings_zhilye_mnogokvartirnye,0.0007758238205256457,0.0044916787958458335,0.0026337513081857397
fakt_stoimost_str_va_zhilye,0.002926204926376288,0.0022170798956387674,0.0025716424110075278
MATERIAL,0.0048704218250695125,0.00021103265902831393,0.002540727242048913
fakt_stoimost_str_va_vsego,0.0016854047758376512,0.0030437850552199213,0.0023645949155287863
dist_to_kindergarten_km,0.0041623223978616486,0.00027929361769564454,0.0022208080077786465
k_vo_vvedennyh_kvartir_vsego,0.00046179315392662617,0.0034089522956896982,0.0019353727248081621
k_vo_vvedennyh_novyh_zhilyh_zdaniy_indiv,0.0017514119598668074,0.0020586540555833054,0.0019050330077250563
obsh_ploshad_expluat_new_buildings_zhilye_individualnye,0.0004962531756795601,0.002922914301098869,0.0017095837383892146
temp_prirosta_percent,0.0011317943991970216,0.002013617584982673,0.0015727059920898473
obsh_ploshad_vveden_expluat_zhilyh_zdaniy_sqmeters,4.6895808769265495e-06,0.0030949891249028596,0.001549839352889893
TOTAL AREA,0.0014844724288494073,0.0010064333425016218,0.0012454528856755145
index_momentum_yoy,0.0023950803605192316,6.456466550719373e-05,0.0012298225130132126
dist_to_main_road_km,0.0023558830323628017,5.538503314470632e-05,0.001205634032753754
index_real_zarplaty,0.0010992016077614895,0.0012359155528412944,0.001167558580301392
price_index_current,0.0019635478112390043,0.000280151009546193,0.0011218494103925987
poleznaya_ploshad_zhilyh_zdaniy_vvedeno_zastroishikami,0.00025444194207231913,0.00158191227218903,0.0009181771071306746
index_momentum_3m,0.0017237989193355143,6.117643811708029e-05,0.0008924876787262974
index_vs_5yr_trend,0.001600735114683274,0.00017417621929806393,0.000887455666990669
building_fixed_effect,0.0013410653173920914,0.0001162061125179431,0.0007286357149550172
is_known_building,0.0001389018015710438,2.402301174004437e-05,8.146240665554409e-05
almaty_x_fx,0.0,0.0,0.0
astana_x_fx,0.0,0.0,0.0
macro_kzt_usd_mom3m,0.0,0.0,0.0
macro_2,0.0,0.0,0.0
macro_1,0.0,0.0,0.0
macro_0,0.0,0.0,0.0
macro_7,0.0,0.0,0.0
macro_6,0.0,0.0,0.0
macro_5,0.0,0.0,0.0
macro_4,0.0,0.0,0.0
macro_3,0.0,0.0,0.0
macro_kzt_usd_mom_yoy,0.0,0.0,0.0
shymkent_x_fx,0.0,0.0,0.0
